ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl
100977_at	-2.5401066175845592	10.273551457003752	-8.416204395525723	1.0483159530123637e-6	3.3198976937953314e-5	5.719119318012753	ENSMUSG00000006494
95670_at	-2.5424293545328442	8.725516698479204	-6.796650686364258	1.0977036338872602e-5	1.9471765596568331e-4	3.284510785279103	ENSMUSG00000027500
161900_f_at	-2.549971901079724	6.584283196147227	-10.891217521344025	5.049037595647414e-8	3.426759863828527e-6	8.847794787182291	ENSMUSG00000031489.1
98627_at	-2.55056027613473	10.77390078256688	-8.387803734920158	1.0894155660808633e-6	3.3926737130219006e-5	5.679295209730247	ENSMUSG00000039323
161126_at	-2.552201394430048	8.19199129578958	-10.069569068218927	1.2951495373887784e-7	6.392817163205955e-6	7.8794075066104305	ENSMUSG00000071470
93228_at	-2.5564720964526213	9.786660648978643	-9.985513638118404	1.43102492626612e-7	6.9535561397709355e-6	7.776642124784347	ENSMUSG00000025001
100920_at	-2.5598752338626802	6.641123726715072	-7.20414489181693	5.8930189412745794e-6	1.2224588129341687e-4	3.9295025063771813	NA.36
93458_at	-2.566291084312886	5.5405446297922305	-6.045866714128472	3.6616348991471663e-5	4.927424204800627e-4	2.036417556731033	NA.37
103728_at	-2.6404713303400467	7.9663175725792454	-8.598625156413403	8.206511397854736e-7	2.7475312154533498e-5	5.972608736931219	ENSMUSG00000026398
99920_at	-2.661220898048528	8.645147148081701	-7.759599733412842	2.612489362600054e-6	6.56887080629162e-5	4.772972043082312	ENSMUSG00000025925.1
98485_at	-2.6872725139183853	6.8318670519468085	-11.834680412515242	1.8334553993820714e-8	1.620012157116924e-6	9.88450310907687	ENSMUSG00000030494
93133_at	-2.69121361620269	10.121387537830724	-10.395575178499227	8.849552066101639e-8	4.850131365297316e-6	8.271358306443746	ENSMUSG00000031297
98149_s_at	-2.704519199182016	12.220549542698219	-14.065948119179957	2.139822066792943e-9	3.2587924353793015e-7	12.061831214468206	ENSMUSG00000063171
93296_at	-2.787863525641793	9.471407135835985	-6.056848190204813	3.5956664200325896e-5	4.8438707932434714e-4	2.055234792926555	ENSMUSG00000041359
100033_at	-2.791899482092372	10.739568379086885	-24.5550893681658	1.6338043565560242e-12	2.040294880467163e-9	18.970207420512097	ENSMUSG00000024151
93902_at	-2.8151591871411927	8.535244251507482	-12.593109441402026	8.518972019546626e-9	8.579429240330505e-7	10.66507586534663	ENSMUSG00000031714
102418_at	-2.862055772719292	7.863990709314136	-6.619543279515981	1.4484069192946065e-5	2.41814246098276e-4	2.99711000861746	ENSMUSG00000039329
100992_at	-2.902070914881147	9.68048389045069	-13.063358556287476	5.401102247374358e-9	6.187978428001007e-7	11.12732904701943	ENSMUSG00000040669
102220_at	-2.9075590501008595	10.974324212703376	-11.928685921166814	1.6635983613226875e-8	1.5054359663911393e-6	9.98370604907894	ENSMUSG00000047751
94341_at	-2.9165664184534883	10.362258810943741	-7.205160433141394	5.884050426653607e-6	1.2224588129341687e-4	3.93108188226541	ENSMUSG00000038518
100559_at	-2.929432113937793	9.906586788955185	-15.306460845524446	7.353366641093028e-10	1.5832559071374094e-7	13.1309737367284	ENSMUSG00000024422
